evidence_status,population,scenario,active_arm,control_arm,active_n,active_responders,active_rate,control_n,control_responders,control_rate,risk_difference,rd_ci_low_newcombe,rd_ci_high_newcombe,risk_ratio,rr_ci_low,rr_ci_high,odds_ratio,or_ci_low,or_ci_high,fisher_exact_p,planning_success_rule_met,success_rule
observed_posthoc_exploratory,mITT,locf_like_through_d95,泰普格雷高剂量组,氯吡格雷组,202,147,0.7277227722772277,201,140,0.6965174129353234,0.03120535934190427,-0.05698994734488938,0.1187947514511281,1.0448019801980197,0.9227097976478512,1.1830492974155158,1.1645454545454546,0.7562379746733506,1.7933060241893586,0.5105534356245196,False,two-sided 95% Newcombe/Wilson RD CI lower bound > 0
observed_posthoc_exploratory,mITT,locf_like_through_d95,泰普格雷低剂量组,泰普格雷高剂量组,202,158,0.7821782178217822,202,147,0.7277227722772277,0.054455445544554504,-0.029492733595929785,0.1374650472749654,1.0748299319727892,0.9615171001388232,1.201496450242887,1.3435374149659864,0.8518702660534855,2.1189761602738586,0.24731761207814074,False,two-sided 95% Newcombe/Wilson RD CI lower bound > 0
observed_posthoc_exploratory,PPS,nominal_v8_missing_nonresponder,泰普格雷低剂量组,氯吡格雷组,177,154,0.8700564971751412,177,143,0.807909604519774,0.062146892655367214,-0.014870712004201841,0.1388474634300226,1.0769230769230769,0.9826010246952017,1.1802993121946117,1.5919732441471572,0.8948878310196066,2.832063105822809,0.14770985681606924,False,two-sided 95% Newcombe/Wilson RD CI lower bound > 0
observed_posthoc_exploratory,PPS,nominal_v8_missing_nonresponder,泰普格雷高剂量组,氯吡格雷组,180,154,0.8555555555555555,177,143,0.807909604519774,0.04764595103578151,-0.030341215456617804,0.12554113723640944,1.058974358974359,0.9643397604129531,1.1628958371320635,1.4082840236686391,0.8051866571533407,2.4631107255701044,0.25851948993405105,False,two-sided 95% Newcombe/Wilson RD CI lower bound > 0
observed_posthoc_exploratory,PPS,nominal_v8_missing_nonresponder,泰普格雷低剂量组,泰普格雷高剂量组,177,154,0.8700564971751412,180,154,0.8555555555555555,0.014500941619585705,-0.05785267178384454,0.08661647119869925,1.0169491525423728,0.9362017719982142,1.104660992735894,1.1304347826086956,0.6180002569313207,2.067770657696639,0.7591336897111265,False,two-sided 95% Newcombe/Wilson RD CI lower bound > 0
observed_posthoc_exploratory,PPS,available_case,泰普格雷低剂量组,氯吡格雷组,170,154,0.9058823529411765,165,143,0.8666666666666667,0.039215686274509776,-0.02964284669446579,0.10910777063210317,1.0452488687782806,0.9677821737817713,1.1289164310735043,1.4807692307692308,0.7479237270753255,2.9316859933928376,0.3024813912747404,False,two-sided 95% Newcombe/Wilson RD CI lower bound > 0
observed_posthoc_exploratory,PPS,available_case,泰普格雷高剂量组,氯吡格雷组,175,154,0.88,165,143,0.8666666666666667,0.013333333333333308,-0.05802389310421574,0.08577459903856141,1.0153846153846153,0.9362996937077694,1.1011494760581997,1.1282051282051282,0.5950119746802147,2.1391952859308976,0.7460602549900462,False,two-sided 95% Newcombe/Wilson RD CI lower bound > 0
observed_posthoc_exploratory,PPS,available_case,泰普格雷低剂量组,泰普格雷高剂量组,170,154,0.9058823529411765,175,154,0.88,0.025882352941176467,-0.040845792298596736,0.09251693891748396,1.0294117647058822,0.956862995231191,1.1074611376928036,1.3125,0.6598461851514482,2.6106936567415557,0.4887824990492122,False,two-sided 95% Newcombe/Wilson RD CI lower bound > 0
observed_posthoc_exploratory,PPS,strict_d85_d95_missing_nonresponder,泰普格雷低剂量组,氯吡格雷组,177,150,0.847457627118644,177,133,0.751412429378531,0.096045197740113,0.012463858382193244,0.1783491297665844,1.1278195488721805,1.015106395764138,1.253047897369169,1.8379281537176273,1.078587223426363,3.1318560287567765,0.0332147113333351,True,two-sided 95% Newcombe/Wilson RD CI lower bound > 0
observed_posthoc_exploratory,PPS,strict_d85_d95_missing_nonresponder,泰普格雷高剂量组,氯吡格雷组,180,145,0.8055555555555556,177,133,0.751412429378531,0.05414312617702455,-0.032108043005063716,0.1396975524506161,1.0720551378446117,0.9593788632692924,1.1979649151978726,1.3705692803437164,0.8292731238422102,2.2651887517089198,0.2515085512119901,False,two-sided 95% Newcombe/Wilson RD CI lower bound > 0
